GRANTEE,OWNER,TABLE_NAME,GRANTOR,PRIVILEGE,GRA,HIE,COM,TYPE,INH
AUDIT_VIEWER,SYS,V_$UNIFIED_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,DAM_CLEANUP_JOBS$,SYS,DELETE,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_CLEANUP_JOBS$,SYS,INSERT,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_CLEANUP_JOBS$,SYS,UPDATE,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_CONFIG_PARAM$,SYS,DELETE,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_CONFIG_PARAM$,SYS,INSERT,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_CONFIG_PARAM$,SYS,UPDATE,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_LAST_ARCH_TS$,SYS,DELETE,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_LAST_ARCH_TS$,SYS,INSERT,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DAM_LAST_ARCH_TS$,SYS,UPDATE,NO,NO,NO,TABLE,NO
AUDSYS,SYS,DBA_XS_AUDIT_POLICY_OPTIONS,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,DBMS_ASSERT,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,DBMS_INTERNAL_LOGSTDBY,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,DBMS_LOCK,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,DBMS_PDB_EXEC_SQL,SYS,EXECUTE,NO,NO,NO,PROCEDURE,NO
AUDSYS,SYS,DBMS_SCHEDULER,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,DBMS_SESSION,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,DBMS_SQL,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,DBMS_STATS,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
AUDSYS,SYS,GV_$INSTANCE,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,GV_$UNIFIED_AUDIT_TRAIL,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,VW_X$AUD_XS_ACTIONS,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,V_$CONTAINERS,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,V_$DATABASE,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,V_$INSTANCE,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,V_$OPTION,SYS,READ,NO,NO,NO,VIEW,NO
AUDSYS,SYS,V_$VERSION,SYS,READ,NO,NO,NO,VIEW,NO
BDSQL_ADMIN,SYS,DBMS_BDSQL,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
CAPTURE_ADMIN,SYS,CAPTURE_RUN_LOG$,SYS,SELECT,NO,NO,NO,TABLE,NO
CAPTURE_ADMIN,SYS,CDB_CHECKED_ROLES,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_CHECKED_ROLES_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_PRIV_CAPTURES,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_GRANTS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_OBJPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_OBJPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_PRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_SYSPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_SYSPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_USERPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_UNUSED_USERPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_OBJPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_OBJPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_PRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_PUBPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_SYSPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_SYSPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_USERPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,CDB_USED_USERPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_CHECKED_ROLES,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_CHECKED_ROLES_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_PRIV_CAPTURES,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_GRANTS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_OBJPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_OBJPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_PRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_SYSPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_SYSPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_USERPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_UNUSED_USERPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_OBJPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_OBJPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_PRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_PUBPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_SYSPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_SYSPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_USERPRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBA_USED_USERPRIVS_PATH,SYS,SELECT,NO,NO,NO,VIEW,NO
CAPTURE_ADMIN,SYS,DBMS_PRIVILEGE_CAPTURE,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
CAPTURE_ADMIN,SYS,PRIV_CAPTURE$,SYS,SELECT,NO,NO,NO,TABLE,NO
CDB_DBA,SYS,CDB_LOCAL_ADMIN_PRIVS,SYS,SELECT,NO,NO,NO,VIEW,NO
CDB_DBA,SYS,PDB_ALERTS,SYS,SELECT,NO,NO,NO,VIEW,NO
CDB_DBA,SYS,PDB_PLUG_IN_VIOLATIONS,SYS,SELECT,NO,NO,NO,VIEW,NO
DATAPUMP_EXP_FULL_DATABASE,SYS,DBMS_JVM_EXP_PERMS,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DATAPUMP_IMP_FULL_DATABASE,SYS,DBMS_SERVER_ALERT,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DATAPUMP_IMP_FULL_DATABASE,SYS,ORDIMDPCALLOUTS,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,ORDSYS,CARTRIDGE,ORDSYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,ADR_HOME_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_INCIDENT_CORR_KEYS_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_INCIDENT_FILES_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_INCIDENT_INFO_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_INCIDENT_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_ARGS_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_ARG_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_ECID_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_ERRID_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_SUPPL_ATTRS_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_SUPPL_ATTR_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,ADR_LOG_MSG_T,SYS,EXECUTE,NO,NO,NO,TYPE,NO
DBA,SYS,CDB_XS_ACTIVE_SESSIONS,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,CDB_XS_SESSIONS,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,CDB_XS_SESSION_NS_ATTRIBUTES,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,CDB_XS_SESSION_ROLES,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,DBA_XS_ACTIVE_SESSIONS,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,DBA_XS_SESSIONS,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,DBA_XS_SESSION_NS_ATTRIBUTES,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,DBA_XS_SESSION_ROLES,SYS,SELECT,NO,NO,NO,VIEW,NO
DBA,SYS,DBMS_ADR,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_ADR_APP,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_CACHEUTIL,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_DNFS,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_HANG_MANAGER,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_HM,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_ILM_ADMIN,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_INMEMORY_ADMIN,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_IR,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_LOGSTDBY,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_MEMOPTIMIZE_ADMIN,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_NETWORK_ACL_ADMIN,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_RAT_MASK,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_RESULT_CACHE,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_ROLLING,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_SERVER_TRACE,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_STORAGE_MAP,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_TNS,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_WORKLOAD_CAPTURE,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_WORKLOAD_REPLAY,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_WRR_STATE,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,DBMS_XS_PRINCIPALS,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,MAP_OBJECT,SYS,DELETE,NO,NO,NO,TABLE,NO
DBA,SYS,MAP_OBJECT,SYS,INSERT,NO,NO,NO,TABLE,NO
DBA,SYS,MAP_OBJECT,SYS,SELECT,NO,NO,NO,TABLE,NO
DBA,SYS,MAP_OBJECT,SYS,UPDATE,NO,NO,NO,TABLE,NO
DBA,SYS,OJDS_CONTEXT,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,ORD_ADMIN,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,OUTLN_PKG,SYS,EXECUTE,NO,NO,NO,PACKAGE,NO
DBA,SYS,V_$DIAG_ADR_CONTROL,SYS,SELECT,NO,NO,NO,VIEW,NO
